nombre,afinidad,posicion,equipo,url_imagen
Bill Formby,Montaña,Defensa,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/4/47/%28OTK%29_Formby_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191017133920&path-prefix=es
Bill Steakspear,Montaña,Defensa,16. Inazuma Eleven,https://static.wikia.nocookie.net/inazuma/images/4/4b/%28IE%29_Steaky_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200131151418&path-prefix=es
Bob Carlton,Bosque,Portero Defensa [ 1 ],Royal Academy,https://static.wikia.nocookie.net/inazuma/images/d/d8/%28RA%29_Carlton_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191016195601&path-prefix=es
Bobby Shearer,Bosque,Defensa,1ª Línea : 13. Royal Academy,https://static.wikia.nocookie.net/inazuma/images/f/f5/Bobby_Shearer%28Original%29.png/revision/latest?cb=20210208024909&path-prefix=es
Brody Gloom,Montaña,Centrocampista,Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/d/d9/%28KW%29_Gloom_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191019201920&path-prefix=es
Bruce Chaney,Bosque,Centrocampista,Instituto Umbrella Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/f/f6/Chaki.png/revision/latest?cb=20120104203028&path-prefix=es
Bruce Monkey,Aire,Centrocampista,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/a/a8/250px-SarutaN.png/revision/latest?cb=20120101175603&path-prefix=es
Burt Wolf,Montaña,Delantero Centrocampista,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/7/76/Burt_Wolf_IED.png/revision/latest?cb=20121202155718&path-prefix=es
Byron Love,Bosque,Centrocampista Delantero Entrenador,1ª Línea : 10. Instituto Zeus 11. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/e/ee/Byron_%28T3_Artwork%29.png/revision/latest?cb=20161217203334&path-prefix=es
Cal Trops,Bosque,Centrocampista,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/c/cc/%28SHK%29_Trops_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191017132034&path-prefix=es
Cameron Morefield,Aire,Centrocampista,Instituto Umbrella Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/5/59/Cameron.jpg/revision/latest/scale-to-width-down/268?cb=20230913161445&path-prefix=es
Celia Hills,Aire,Centrocampista,1ª Línea : Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/b/b6/Celia_%28Artwork%29.png/revision/latest/scale-to-width-down/150?cb=20210124130626&path-prefix=es
Chad Bullford,Fuego,Defensa [ 1 ] Portero,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/c/c1/%28W%29_Bullford_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191015150712&path-prefix=es
Cham Lion,Aire,Centrocampista,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/b/b8/123595.png/revision/latest?cb=20121125120029&path-prefix=es
Charles Island,Bosque,Defensa,2. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/5/53/Ukishima_IE_14_HQ.PNG/revision/latest?cb=20130328132138&path-prefix=es
Charles Oughtry,Montaña,Centrocampista,Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/f/f0/%28B%29_Oughtry_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191016140116&path-prefix=es
Charlie Boardfield,Fuego,Portero,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/6/60/Yamino_Kageto_3.png/revision/latest/scale-to-width-down/268?cb=20120101170727&path-prefix=es
Chester Horse,Montaña,Portero,,https://static.wikia.nocookie.net/inazuma/images/4/41/Chester_Horse.jpg/revision/latest/scale-to-width-down/268?cb=20120724121053&path-prefix=es
Chester Horse Jr,Bosque,Centrocampista,,https://static.wikia.nocookie.net/inazuma/images/d/d2/Chester_Horse_Jr._%28jov%C3%A9n%29.jpg/revision/latest?cb=20130618193830&path-prefix=es
Chuck Dollman,Bosque,Delantero,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/1/18/%28O%29_Dollman_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191015131820&path-prefix=es
Cliff Tomlinson,Aire,Delantero,Royal Academy,https://static.wikia.nocookie.net/inazuma/images/e/e2/%28RA%29_Tomlinson_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191016195719&path-prefix=es
Clint Loggan,Bosque,Entrenador Delantero,DT. Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/9/9a/Clint_Loggan.png/revision/latest?cb=20200512093612&path-prefix=es
Clive Mooney,Fuego,Delantero,Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/4/41/%28B%29_Mooney_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191016140114&path-prefix=es
Constant Builder,Fuego,Delantero,11. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/a/af/Constant_Builder_%28EP14%29.jpg/revision/latest/scale-to-width-down/268?cb=20160617154344&path-prefix=es
Dan Hopper,Montaña,Defensa,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/6/6f/%28SHK%29_Hopper_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191017131848&path-prefix=es
Dan Mirthful,Bosque,Defensa,Línea Original : Instituto Kirkwood Línea Alterna : Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/7/75/Mitsumine.jpg/revision/latest/scale-to-width-down/268?cb=20120101210654&path-prefix=es
Daniel Dawson,Aire,Centrocampista,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/e/ef/250px-Negami_Daichi.jpg/revision/latest?cb=20120423000600&path-prefix=es
Daniel Hatch,Bosque,Delantero Defensa,1ª Línea : 9. Royal Academy,https://static.wikia.nocookie.net/inazuma/images/6/64/JirouS..png/revision/latest?cb=20121126183653&path-prefix=es
Danny Wood,Aire,Defensa,1ª Línea : Instituto Zeus 2ª Línea : Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/3/3c/Danny_Wood_%28Anime%29.PNG/revision/latest/scale-to-width-down/268?cb=20160830002355&path-prefix=es
David Evans,Montaña,Entrenador Portero,1. Selección Profesional de Japón DT. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/7/7f/David_Evans_IED.png/revision/latest?cb=20121126225621&path-prefix=es
David Samford,Bosque,Delantero Entrenador Defensa,1ª Línea : 11. Royal Academy 11. Royal Academy Redux 16. Pruebas de Selección - Equipo A 16. Inazuma Japón 16. Orfeo,https://static.wikia.nocookie.net/inazuma/images/d/d7/David_Samford_%28Artwork_T3%29.png/revision/latest?cb=20160402154445&path-prefix=es
Derek Swing,Aire,Centrocampista,1ª Línea : Royal Academy 2ª Línea : Royal Academy,https://static.wikia.nocookie.net/inazuma/images/c/c9/118368.png/revision/latest?cb=20121126183243&path-prefix=es
Dom Foreman,Montaña,Centrocampista,14. Inazuma Eleven,https://static.wikia.nocookie.net/inazuma/images/9/9a/%28IE%29_Foreman_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200131145249&path-prefix=es
Donovan Lardy,Aire [ 1 ],,,https://static.wikia.nocookie.net/inazuma/images/2/2f/Lardy.png/revision/latest/scale-to-width-down/268?cb=20200511151500&path-prefix=es
Dough Baughan,Aire,Delantero,Sallys,https://static.wikia.nocookie.net/inazuma/images/8/84/%28S%29_Baughan_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232036&path-prefix=es
Eddie Prentice,Montaña,Delantero,Sallys,https://static.wikia.nocookie.net/inazuma/images/b/bb/%28S%29_Prentice_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232319&path-prefix=es
Edward Gladstone,Fuego,Centrocampista,7. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/a/ab/Edward_Gladstone_%28anime%29.png/revision/latest/scale-to-width-down/268?cb=20160615133437&path-prefix=es
Eren Middleton,Montaña,Defensa,Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/4/45/%28KW%29_Middleton_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191019201827&path-prefix=es
Erik Eagle,Bosque,Centrocampista,1ª Línea : 16. Instituto Raimon 7. Unicorn Earth Eleven,https://static.wikia.nocookie.net/inazuma/images/5/5a/Erik_%28T1_Artwork%29.png/revision/latest?cb=20180514225302&path-prefix=es
Fayette Riversong,Montaña,Centrocampista,Sallys,https://static.wikia.nocookie.net/inazuma/images/c/c0/%28S%29_Riversong_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232321&path-prefix=es
Finn Stoned,Fuego,Defensa,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/1/13/Finn_Stoned.jpg/revision/latest/scale-to-width-down/268?cb=20150224213220&path-prefix=es
Francis Tell,Bosque,Centrocampista,1ª Línea : Instituto Brain 2ª Línea : Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/f/ff/Francis_Tell_%28Anime%29.jpg/revision/latest/scale-to-width-down/268?cb=20160320170447&path-prefix=es
Frank Wintersea,Aire,Entrenador Defensa,Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/3/38/Winterseaproff.png/revision/latest?cb=20130322182510&path-prefix=es
Fred Crumb,Montaña,Defensa,Sallys,https://static.wikia.nocookie.net/inazuma/images/1/11/%28S%29_Crumb_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232038&path-prefix=es
Gaby Farmer,Aire,Delantero,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/3/3a/Gaby_Farmer.jpg/revision/latest?cb=20240108231028&path-prefix=es
Galen Thunderbird,Montaña,Defensa,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/f/f7/Galen.jpg/revision/latest/scale-to-width-down/268?cb=20150224213001&path-prefix=es
Garret Hairtown,Aire,Defensa,3. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/f/f6/Hairtown_%28Anime%29.png/revision/latest/scale-to-width-down/268?cb=20160611220156&path-prefix=es
Gary Lancaster,Montaña,Delantero,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/f/f0/EP06_-_Gorila.png/revision/latest/scale-to-width-down/268?cb=20180605165228&path-prefix=es
Grant Eldorado,Fuego,Delantero [ 1 ] Portero,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/5/5c/%28OTK%29_Eldorado_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191017133851&path-prefix=es
Greg Bernard,Bosque,Delantero,Instituto Umbrella Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/6/64/Cyborg.jpg/revision/latest?cb=20110317165840&path-prefix=es
Gregory Smith,,,,https://static.wikia.nocookie.net/inazuma/images/9/9f/Detective_Smith_%28anime%29.png/revision/latest/scale-to-width-down/268?cb=20160915124545&path-prefix=es
Gus Gamer,Fuego,Delantero,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/f/f2/Dcj.jpg/revision/latest/scale-to-width-down/268?cb=20120101185741&path-prefix=es
Gus Heeley,Montaña,Delantero,Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/3/30/%28Z%29_Achilles_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191021132524&path-prefix=es
Gus Martin,Bosque,Defensa,1ª Línea : Royal Academy Equipo Zero 2ª Línea : Royal Academy,https://static.wikia.nocookie.net/inazuma/images/8/82/118367.png/revision/latest?cb=20190905133625&path-prefix=es
Ham Signalman,Aire,Centrocampista,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/e/e5/%28OTK%29_Signalman_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191017133957&path-prefix=es
Hank Sullivan,Bosque,Centrocampista,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/4/4f/250px-Hatsutori.jpg/revision/latest?cb=20111002151938&path-prefix=es
Hans Randall,Fuego,Delantero,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/4/40/Kids_fc_inazuma.jpg/revision/latest?cb=20110604113151&path-prefix=es
Harry Closs,Fuego,Defensa,Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/8/8d/%28Z%29_Heracles_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191021133358&path-prefix=es
Harry Evans,,,,https://static.wikia.nocookie.net/inazuma/images/1/14/Mamoru%27s_Father.png/revision/latest/scale-to-width-down/267?cb=20230830163910&path-prefix=es
Harry Leading,Aire,Defensa,1ª Línea : Instituto Brain 2ª Línea : Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/4/4b/Harry_Leading_IED.png/revision/latest?cb=20121126221356&path-prefix=es
Harry Savage,Aire,Entrenador Centrocampista,DT. Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/e/e5/Harry_Savage.jpg/revision/latest?cb=20120731005659&path-prefix=es
Harry Snake,Bosque,Delantero,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/f/f5/Harry_snake.jpg/revision/latest/scale-to-width-down/268?cb=20110210180551&path-prefix=es
Hekyll Jyde,Montaña,Entrenador Defensa,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/e/ec/Jikiru_Haito.png/revision/latest?cb=20130516182218&path-prefix=es
Henry House,Fuego,Centrocampista Defensa,Instituto Zeus Neo Japón,https://static.wikia.nocookie.net/inazuma/images/8/82/250px-Hera_Tadashi.jpg/revision/latest?cb=20120427011105&path-prefix=es
Herb Sherman,Fuego,Defensa,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/3/37/Sherman.jpg/revision/latest/scale-to-width-down/267?cb=20160509015843&path-prefix=es
Herman Muller,Aire,Portero,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/0/0b/CIUDAD_INAZUMA_%282%29.jpg/revision/latest?cb=20111230160645&path-prefix=es
Herman Waldon,Aire,Centrocampista,1ª Línea : Royal Academy 2ª Línea : Royal Academy,https://static.wikia.nocookie.net/inazuma/images/6/64/Herman_Waldon_IED.png/revision/latest?cb=20121126190735&path-prefix=es
Homer Grower,Montaña,Defensa,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/1/1e/%28F%29_Grower_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191019200938&path-prefix=es
Hugo Talgeese,Fuego,Centrocampista Defensa,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/f/f0/250px-ToriiRyota_%281%29.JPG/revision/latest?cb=20120521013345&path-prefix=es
Ian Stager,Bosque,Defensa,Sallys,https://static.wikia.nocookie.net/inazuma/images/4/40/%28S%29_Stager_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232556&path-prefix=es
Ian Suffolk,Fuego,Centrocampista,10. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/e/ec/Sufol.jpg/revision/latest?cb=20160617142011&path-prefix=es
Iggy Russ,Aire,Portero,Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/a/ad/%28Z%29_Icarus_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191021133402&path-prefix=es
Ike Steiner,Bosque,Centrocampista,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/0/06/Mother.jpg/revision/latest/scale-to-width-down/268?cb=20160509215226&path-prefix=es
Irwin Hall,Bosque,Centrocampista,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/c/cc/Ikejiri_Haru.png/revision/latest?cb=20140928125815&path-prefix=es
Izzy Island,Bosque,Defensa,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/f/f0/Izzy_Island_%28anime%29.png/revision/latest?cb=20160530213417&path-prefix=es
Jack Wallside,Montaña,Defensa,1ª Línea : 3. Instituto Raimon 3. Pruebas de Selección - Equipo A 3. Inazuma Japón 3. Equipo Rojo Earth Eleven,https://static.wikia.nocookie.net/inazuma/images/5/52/Jack_%28Artwork_IE_T3%29.png/revision/latest?cb=20180130144747&path-prefix=es
Jamie Cool,Aire,Centrocampista,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/0/04/Jaime_Cool.png/revision/latest/scale-to-width-down/268?cb=20130907114517&path-prefix=es
Janison Veteran,Fuego,Portero,Inazuma Eleven,https://static.wikia.nocookie.net/inazuma/images/4/47/Veteran_%28Anime%29.png/revision/latest?cb=20150922185046&path-prefix=es
Jason Jones,Aire,Defensa,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/d/d5/Creepy.jpg/revision/latest?cb=20111031152745&path-prefix=es
Jason Strike,Fuego,Defensa,Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/2/23/Kikuchi.png/revision/latest?cb=20120104205050&path-prefix=es
Jeff Iron,Fuego,Defensa,Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/2/29/Hepai_En.jpg/revision/latest?cb=20110928101308&path-prefix=es
Jerry Fulton,Fuego,Defensa,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/0/0d/Jerry_fulton.jpg/revision/latest/scale-to-width-down/268?cb=20110421085735&path-prefix=es
Jez Shell,Aire,Centrocampista,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/6/62/Shell.jpg/revision/latest?cb=20110226105703&path-prefix=es
Jim Hillfort,Aire,Defensa,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/0/05/Jim_hillfort.jpg/revision/latest/scale-to-width-down/268?cb=20111107171642&path-prefix=es
Jim Lawrenson,Aire,Delantero,Royal Academy,https://static.wikia.nocookie.net/inazuma/images/b/b4/%28RA%29_Lawerson_3D_%283%29.png/revision/latest/scale-to-width-down/267?cb=20191016195640&path-prefix=es
Jim Wraith,Bosque,Defensa,4. Instituto Raimon 4. Emperadores Oscuros,https://static.wikia.nocookie.net/inazuma/images/1/1d/Jim_%28Artwork%29.png/revision/latest/scale-to-width-down/208?cb=20230417135552&path-prefix=es
Joe Ingram,Fuego,Portero,Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/0/05/Joe_ingram.png/revision/latest?cb=20120919140221&path-prefix=es
Joe Small,Montaña,Centrocampista,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/7/71/Small.jpg/revision/latest/scale-to-width-down/268?cb=20160509201814&path-prefix=es
Johan Tassman,Bosque,Delantero Centrocampista,Instituto Occult Neo Japón,https://static.wikia.nocookie.net/inazuma/images/8/80/Johan_Tasman.jpg/revision/latest?cb=20101228131303&path-prefix=es
John Bloom,Fuego Aire,Centrocampista,1ª Línea : 7. Royal Academy 2ª Línea : 7. Royal Academy,https://static.wikia.nocookie.net/inazuma/images/b/ba/Shuuji_sakiyama_IED.png/revision/latest?cb=20121126191327&path-prefix=es
John Neville,Fuego,Portero,Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/0/04/Nevillers.PNG/revision/latest/scale-to-width-down/268?cb=20180319164019&path-prefix=es
John Reynolds,Aire,Delantero,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/f/f6/%28SHK%29_Ronin_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191017131938&path-prefix=es
Jonas Demetrius,Fuego,Delantero,1ª Línea : Instituto Zeus Neo Japón 2ª Línea : Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/f/f9/Jonas_Demetrius_IED.png/revision/latest?cb=20121213132742&path-prefix=es
Jonathan Seller,Aire,Delantero,1ª Línea : Instituto Brain 2ª Línea : Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/0/02/Seller_IED.png/revision/latest?cb=20121125115628&path-prefix=es
Joseph King,Fuego,Portero,1ª Línea : 1. Royal Academy,https://static.wikia.nocookie.net/inazuma/images/b/bf/Artwork_King_%28T3%29.png/revision/latest?cb=20151205193950&path-prefix=es
Joseph Yosemite,Aire,Delantero,9. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/9/97/Barista_%28EP14%29.PNG/revision/latest?cb=20160616191034&path-prefix=es
Josh Nathaniel,Bosque,Centrocampista,6. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/c/c8/Nathaniel.jpg/revision/latest/scale-to-width-down/268?cb=20110316165917&path-prefix=es
Josh Spear,Bosque,Delantero,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/0/01/Josh_Spear.jpg/revision/latest/scale-to-width-down/268?cb=20130812125658&path-prefix=es
Jude Sharp,Aire,Centrocampista Entrenador,1ª Línea : 10. Royal Academy,https://static.wikia.nocookie.net/inazuma/images/b/b1/Jude_%28Artwork_Anime_T3%29.png/revision/latest?cb=20151026151127&path-prefix=es
Julia Blaze,Fuego,Centrocampista,,https://static.wikia.nocookie.net/inazuma/images/0/0b/ImagesCA0ZTHFP.jpg/revision/latest?cb=20120609070014&path-prefix=es
Julius Molehill,Aire,Defensa,Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/c/c1/%28U%29_Molehill_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191024142922&path-prefix=es
Jupiter Jumper,Aire,Centrocampista,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/f/fa/Jupiter_Jumper_%28anime%29.jpg/revision/latest?cb=20150225004134&path-prefix=es
Karl Blue,Montaña,Centrocampista,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/f/f5/%28IKFC%29_Karl_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200117140949&path-prefix=es
Ken Cake,Montaña,Delantero,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/1/14/%28IKFC%29_Cake_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200117135346&path-prefix=es
Ken Furan,Montaña,Defensa,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/3/3f/Ken_Furan_viendo_el_resultado.jpg/revision/latest?cb=20120202181447&path-prefix=es
Kendall Sefton,Aire,Defensa,Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/2/26/Himejima.png/revision/latest?cb=20120104203902&path-prefix=es
Kent Work,Bosque,Defensa,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/6/6d/Kent_work.jpg/revision/latest?cb=20110407164352&path-prefix=es
Keth Claus,Aire,Defensa,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/9/93/Keth_Claus_%28anime%29.png/revision/latest?cb=20160530204904&path-prefix=es
Kevin Castle,Aire,Portero,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/0/0b/%28SHK%29_Castle_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191017131808&path-prefix=es
Kevin Dragonfly,Bosque,Delantero,1ª Línea : 11. Instituto Raimon 11. Emperadores Oscuros,https://static.wikia.nocookie.net/inazuma/images/e/eb/Kevin_%28T3_Artwork%29.png/revision/latest?cb=20180322184353&path-prefix=es
Kippy Jones,Bosque,Centrocampista,Sallys,https://static.wikia.nocookie.net/inazuma/images/4/44/%28S%29_Jones_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232313&path-prefix=es
Lane War,Montaña,Defensa,1ª Línea : Instituto Zeus 2ª Línea : Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/9/92/250px-Aresu_Ran_2.jpg/revision/latest?cb=20120628002125&path-prefix=es
